lat,cdf
4.862,7.8969212027337e-06
4.875,8.0522704722957e-06
4.887,8.1299451070767e-06
4.888,8.1817281969307e-06
4.9,8.3370774664927e-06
4.912,8.4665351911276e-06
4.913,8.5959929157626e-06
4.925,8.7513421853246e-06
4.937,8.8549083650326e-06
4.938,8.9066914548866e-06
4.95,9.1914984490835e-06
4.962,9.2173899940105e-06
4.963,9.2950646287915e-06
4.975,9.3986308084995e-06
4.987,9.5280885331345e-06
4.988,9.6575462577694e-06
5,9.8646786171854e-06
5.013,9.8905701621124e-06
5.025,1.0045919431674e-05
5.037,1.0201268701236e-05
5.038,1.0330726425871e-05
5.05,1.0563750330214e-05
5.062,1.0719099599776e-05
5.063,1.0848557324411e-05
5.075,1.1314605133097e-05
5.087,1.1392279767878e-05
5.088,1.1469954402659e-05
5.1,1.1858327576564e-05
5.112,1.2013676846126e-05
5.113,1.2143134570761e-05
5.125,1.2350266930177e-05
5.137,1.2453833109885e-05
5.138,1.2505616199739e-05
5.15,1.3049338643206e-05
5.162,1.3152904822914e-05
5.163,1.3256471002622e-05
5.175,1.3463603362038e-05
5.187,1.3644844176527e-05
5.188,1.3826084991016e-05
5.2,1.4007325805505e-05
5.212,1.4085000440286e-05
5.213,1.413678353014e-05
5.225,1.4447482069264e-05
5.237,1.4602831338826e-05
5.238,1.4732289063461e-05
5.25,1.5094770692439e-05
5.262,1.5250119962001e-05
5.263,1.5379577686636e-05
5.275,1.5716167770686e-05
5.287,1.5793842405467e-05
5.288,1.5897408585175e-05
5.3,1.6104540944591e-05
5.312,1.6441131028642e-05
5.313,1.6751829567766e-05
5.325,1.7036636561963e-05
5.337,1.7295552011233e-05
5.338,1.7554467460503e-05
5.35,1.8046406814116e-05
5.362,1.8175864538751e-05
5.363,1.8305322263386e-05
5.375,1.8745478527145e-05
5.387,1.9263309425685e-05
5.388,1.9755248779298e-05
5.4,2.0247188132911e-05
5.412,2.0273079677838e-05
5.413,2.0298971222765e-05
5.425,2.0454320492327e-05
5.437,2.0609669761889e-05
5.438,2.0790910576378e-05
5.45,2.1282849929991e-05
5.462,2.1593548469115e-05
5.463,2.1878355463311e-05
5.475,2.2137270912581e-05
5.487,2.2447969451705e-05
5.488,2.2758667990829e-05
5.5,2.3043474985026e-05
5.512,2.3172932709661e-05
5.513,2.3302390434296e-05
5.525,2.3820221332836e-05
5.537,2.4053245237179e-05
5.538,2.4260377596595e-05
5.55,2.4493401500938e-05
5.562,2.4752316950208e-05
5.563,2.5063015489332e-05
5.575,2.6176351921193e-05
5.587,2.6668291274806e-05
5.588,2.7186122173346e-05
5.6,2.7911085431301e-05
5.612,2.8170000880571e-05
5.613,2.8506590964622e-05
5.625,2.9205662677651e-05
5.637,2.9438686581994e-05
5.638,2.9801168210972e-05
5.65,3.0370782199366e-05
5.662,3.0603806103709e-05
5.663,3.0810938463125e-05
5.675,3.223497343411e-05
5.687,3.2467997338453e-05
5.688,3.2701021242796e-05
5.7,3.3218852141336e-05
5.712,3.3348309865971e-05
5.713,3.3581333770314e-05
5.725,3.3917923854365e-05
5.737,3.4228622393488e-05
5.738,3.4565212477539e-05
5.75,3.5393741915203e-05
5.762,3.5756223544181e-05
5.763,3.6144596718086e-05
5.775,3.7076692335458e-05
5.787,3.7465065509363e-05
5.788,3.7905221773122e-05
5.8,3.8759642755713e-05
5.812,3.8863208935421e-05
5.813,3.8940883570202e-05
5.825,3.9173907474545e-05
5.837,3.9355148289034e-05
5.838,3.9536389103523e-05
5.85,4.0339026996259e-05
5.862,4.0597942445529e-05
5.863,4.0753291715091e-05
5.875,4.1141664888996e-05
5.887,4.1426471883193e-05
5.888,4.1737170422317e-05
5.9,4.2539808315054e-05
5.912,4.2669266039689e-05
5.913,4.2772832219397e-05
5.925,4.3834385561404e-05
5.937,4.4248650280236e-05
5.938,4.4611131909214e-05
5.95,4.5776251430929e-05
5.962,4.6190516149761e-05
5.963,4.6656563958446e-05
5.975,4.7951141204796e-05
5.987,4.8546646738117e-05
5.988,4.9116260726511e-05
6,4.9996573254029e-05
6.012,5.007424788881e-05
6.013,5.0177814068518e-05
6.025,5.0643861877204e-05
6.037,5.0980451961255e-05
6.038,5.1239367410525e-05
6.05,5.2275029207605e-05
6.062,5.3103558645268e-05
6.063,5.3906196538005e-05
6.075,5.5563255413333e-05
6.087,5.61069778568e-05
6.088,5.6650700300267e-05
6.1,5.7116748108953e-05
6.112,5.7297988923442e-05
6.113,5.7479229737931e-05
6.125,5.7893494456763e-05
6.137,5.8255976085741e-05
6.138,5.8488999990084e-05
6.15,5.8644349259646e-05
6.162,5.8955047798769e-05
6.163,5.9317529427747e-05
6.175,6.0016601140776e-05
6.187,6.0223733500192e-05
6.188,6.0404974314681e-05
6.2,6.0896913668294e-05
6.212,6.1129937572637e-05
6.213,6.1311178387126e-05
6.225,6.2320948639279e-05
6.237,6.317536962187e-05
6.238,6.4029790604461e-05
6.25,6.5298476305883e-05
6.262,6.5893981839204e-05
6.263,6.6567162007306e-05
6.275,6.7369799900043e-05
6.287,6.7628715349313e-05
6.288,6.791352234351e-05
6.3,6.8638485601466e-05
6.312,6.9285774224641e-05
6.313,6.9933062847816e-05
6.325,7.0839266920261e-05
6.337,7.161601326807e-05
6.338,7.2366868070953e-05
6.35,7.3143614418763e-05
6.362,7.3972143856427e-05
6.363,7.4800673294091e-05
6.375,7.601757590566e-05
6.387,7.6483623714346e-05
6.388,7.6949671523032e-05
6.4,7.8088899499819e-05
6.412,7.8296031859235e-05
6.413,7.8554947308505e-05
6.425,7.9927199189636e-05
6.437,8.0470921633103e-05
6.438,8.0988752531643e-05
6.45,8.2024414328723e-05
6.462,8.2335112867847e-05
6.463,8.2645811406971e-05
6.475,8.3888605563466e-05
6.487,8.4147521012736e-05
6.488,8.4432328006933e-05
6.5,8.4924267360546e-05
6.512,8.5701013708356e-05
6.513,8.6451868511239e-05
6.525,8.6969699409779e-05
6.537,8.7254506403976e-05
6.538,8.75652049431e-05
6.55,8.9274046908282e-05
6.562,8.9791877806821e-05
6.563,9.0257925615507e-05
6.575,9.0853431148828e-05
6.587,9.1138238143025e-05
6.588,9.1345370502441e-05
6.6,9.2381032299521e-05
6.612,9.2924754742988e-05
6.613,9.3468477186455e-05
6.625,9.4607705163243e-05
6.637,9.489251215744e-05
6.638,9.5125536061783e-05
6.65,9.5824607774811e-05
6.662,9.6187089403789e-05
6.663,9.6549571032767e-05
6.675,9.7170968111015e-05
6.687,9.7222751200869e-05
6.688,9.7274534290723e-05
6.7,9.8154846818241e-05
6.712,9.8543219992146e-05
6.713,9.8905701621124e-05
6.725,9.9319966339956e-05
6.737,9.9915471873277e-05
6.738,0.0001005109774066
6.75,0.00010128772375441
6.762,0.00010159842229353
6.763,0.00010198679546744
6.775,0.00010278943336017
6.787,0.00010335904734857
6.788,0.00010390276979203
6.8,0.00010499021467897
6.812,0.00010566339484707
6.813,0.00010631068347024
6.825,0.0001077088268963
6.837,0.00010807130852528
6.838,0.00010843379015426
6.85,0.00010884805487309
6.862,0.00010915875341221
6.863,0.00010946945195134
6.875,0.00011115240237159
6.887,0.00011159255863535
6.888,0.00011208449798896
6.9,0.00011309426824112
6.912,0.00011363799068458
6.913,0.00011425938776283
6.925,0.00011537272419469
6.937,0.00011589055509323
6.938,0.00011640838599177
6.95,0.00011700389152509
6.962,0.00011746993933378
6.963,0.00011801366177725
6.975,0.00011910110666418
6.987,0.00011959304601779
6.988,0.00012005909382648
7,0.00012044746700038
7.012,0.00012112064716849
7.013,0.00012174204424673
7.025,0.00012213041742064
7.037,0.00012223398360035
7.038,0.00012233754978006
7.05,0.00012254468213947
7.062,0.00012293305531338
7.063,0.00012332142848728
7.075,0.00012526329435681
7.087,0.00012627306460896
7.088,0.00012720516022633
7.1,0.00012782655730458
7.112,0.00012847384592775
7.113,0.00012917291764078
7.125,0.00013046749488713
7.137,0.00013114067505523
7.138,0.00013186563831319
7.15,0.00013349680564359
7.162,0.00013391107036242
7.163,0.00013429944353633
7.175,0.00013621541786092
7.187,0.00013673324875946
7.188,0.00013735464583771
7.2,0.00013872689771884
7.212,0.00013937418634202
7.213,0.00014009914959997
7.225,0.00014188566619994
7.237,0.00014286954490716
7.238,0.00014374985743468
7.25,0.0001446301699622
7.262,0.00014504443468103
7.263,0.00014551048248972
7.275,0.00014698630055056
