lat,cdf
6.575,1.315718214702e-05
6.576,1.3338481901014e-05
6.588,1.3467981725296e-05
6.6,1.3571581584721e-05
6.601,1.3701081409003e-05
6.613,1.3778781303572e-05
6.625,1.3908281127853e-05
6.626,1.4011880987279e-05
6.638,1.4296780600698e-05
6.65,1.4400380460124e-05
6.651,1.4503980319549e-05
6.663,1.4659380108687e-05
6.675,1.4814779897825e-05
6.676,1.4892479792394e-05
6.688,1.5306879230096e-05
6.7,1.548817898409e-05
6.701,1.5721278667797e-05
6.713,1.5850778492079e-05
6.725,1.5954378351504e-05
6.726,1.6161578070355e-05
6.738,1.6575977508056e-05
6.75,1.6860877121476e-05
6.751,1.7223476629465e-05
6.763,1.7715575961735e-05
6.775,1.7948675645442e-05
6.776,1.810407543458e-05
6.788,1.8492574907425e-05
6.8,1.8829274450557e-05
6.801,1.9140074028834e-05
6.813,1.9502673536822e-05
6.825,1.9709873255673e-05
6.826,2.0020672833949e-05
6.838,2.100487149849e-05
6.85,2.1548770760473e-05
6.851,2.2144469952169e-05
6.863,2.2973268827572e-05
6.875,2.3827967667831e-05
6.876,2.4604966613521e-05
6.888,2.5666865172631e-05
6.9,2.6029464680619e-05
6.901,2.6443864118321e-05
6.913,2.7635262501712e-05
6.925,2.8153261798839e-05
6.926,2.8904360779673e-05
6.938,3.0121659127921e-05
6.95,3.0950458003324e-05
6.951,3.1649757054445e-05
6.963,3.2944755297262e-05
6.975,3.3436854629532e-05
6.976,3.3954853926659e-05
6.988,3.6130450974591e-05
7,3.7218249498557e-05
7.001,3.833194798738e-05
7.013,4.1310443945859e-05
7.025,4.2734942012957e-05
7.026,4.3978140326061e-05
7.038,4.5765237901149e-05
7.05,4.752643551138e-05
7.051,4.9132233332473e-05
7.063,5.2317929009802e-05
7.075,5.3664727182332e-05
7.076,5.5063325284574e-05
7.088,5.8508020610467e-05
7.1,5.9958418642422e-05
7.101,6.1408816674377e-05
7.113,6.4180112914005e-05
7.125,6.5682310875672e-05
7.126,6.7417608521047e-05
7.138,7.0888203811796e-05
7.15,7.2804801211165e-05
7.151,7.4514198891684e-05
7.163,7.8554593409272e-05
7.175,8.0678390527492e-05
7.176,8.2232388418872e-05
7.188,8.6479982655312e-05
7.2,8.8059880511548e-05
7.201,8.9717478262354e-05
7.213,9.41981721825e-05
7.225,9.6839968597847e-05
7.226,9.9740764661756e-05
7.238,0.00010442865830075
7.25,0.00010688915496211
7.251,0.00010960865127202
7.263,0.00011551384325927
7.275,0.00011890673865545
7.276,0.0001221960341922
7.288,0.00012797172635516
7.3,0.00013152002154048
7.301,0.00013501651679609
7.313,0.00014063680916991
7.325,0.00014439230407408
7.326,0.00014788879932969
7.338,0.00015519258941918
7.35,0.00015907758414763
7.351,0.00016291077894636
7.363,0.00017189806675151
7.375,0.00017578306147996
7.376,0.00017938315659499
7.388,0.00018707544615733
7.4,0.00019036474169408
7.401,0.00019388713691454
7.413,0.000202097425774
7.425,0.00020559392102961
7.426,0.00020927171603921
7.438,0.00021686040574212
7.45,0.00022069360054085
7.451,0.00022426779569103
7.463,0.00023307378374218
7.475,0.00023815017685403
7.476,0.00024312297010644
7.488,0.00025019366051222
7.5,0.0002541822551001
7.501,0.00025775645025027
7.513,0.0002652156401289
7.525,0.00026982583387333
7.526,0.00027443602761775
7.538,0.00028373411500118
7.55,0.00028756730979992
7.551,0.00029189260393093
7.563,0.0002991445940907
7.575,0.00030328858846771
7.576,0.00030725128309073
7.588,0.00031351907458597
7.6,0.00031678247015787
7.601,0.00032027896541347
7.613,0.00032846335430807
7.625,0.0003322447491771
7.626,0.00033558584464357
7.638,0.00034247523529535
7.65,0.00034617893026981
7.651,0.00034959772563085
7.663,0.00035692741568519
7.675,0.0003602426111868
7.676,0.00036337650693442
7.688,0.00036925579895681
7.7,0.00037184579544244
7.701,0.00037440989196322
7.713,0.00038013378419647
7.725,0.00038256838089296
7.726,0.00038508067748403
7.738,0.00039062326996329
7.75,0.00039300606673007
7.751,0.00039507806391858
7.763,0.00040005085717099
7.775,0.00040274445351605
7.776,0.00040541214989625
7.788,0.00041077344262152
7.8,0.00041346703896657
7.801,0.00041618653527649
7.813,0.0004205118294075
7.825,0.0004223507269123
7.826,0.0004246040238548
7.838,0.0004291106177398
7.85,0.00043123441485802
7.851,0.00043294381253854
7.863,0.000436647507513
7.875,0.00043892670442035
7.876,0.00044089510174944
7.888,0.00044418439728619
7.9,0.00044594559489642
7.901,0.00044775859243637
7.913,0.00045081478828941
7.925,0.00045216158646194
7.926,0.00045345658470476
7.938,0.00045596888129582
7.95,0.00045726387953864
7.951,0.00045835167806261
7.963,0.00046112297430224
7.975,0.00046223667279106
7.976,0.00046332447131502
7.988,0.00046526696867925
8,0.00046627706730865
8.001,0.0004673130659029
8.013,0.00046928146323198
8.025,0.00046979946252911
8.026,0.00047029156186138
8.038,0.00047161246006905
8.05,0.00047223405922561
8.051,0.00047285565838216
8.063,0.00047391755694127
8.075,0.00047435785634382
8.076,0.00047474635581667
8.088,0.00047575645444607
8.1,0.00047648165346204
8.101,0.00047707735265374
8.113,0.0004785277506857
8.125,0.00047920114977196
8.126,0.00047995224875279
8.138,0.00048111774717133
8.15,0.0004822055456953
8.151,0.00048324154428955
8.163,0.00048474374225122
8.175,0.00048526174154834
8.176,0.0004858833407049
8.188,0.00048678983947487
8.2,0.00048733373873685
8.201,0.00048785173803398
8.213,0.00048906903638222
8.225,0.00048958703567935
8.226,0.0004902086348359
8.238,0.00049093383385188
8.25,0.00049119283350044
8.251,0.00049142593318415
8.263,0.00049160723293815
8.275,0.00049165903286786
8.276,0.00049173673276243
8.288,0.00049178853269214
8.3,0.00049207343230556
8.301,0.00049238423188384
8.313,0.00049313533086467
8.325,0.00049375693002122
8.326,0.0004944821290372
8.338,0.00049466342879119
8.35,0.00049474112868576
8.351,0.00049481882858033
8.363,0.00049502602829918
8.375,0.00049541452777203
8.376,0.00049585482717459
8.388,0.0004959066271043
8.4,0.00049598432699887
8.401,0.00049601022696372
8.413,0.00049686492580398
8.425,0.00049720162534711
8.426,0.00049748652496053
8.438,0.00049759012481996
8.45,0.00049761602478482
8.451,0.00049769372467938
8.463,0.00049867792334393
8.475,0.00049929952250048
8.476,0.00049994702162189
8.488,0.00050069812060272
8.5,0.00050080172046215
8.501,0.00050090532032157
8.513,0.00050093122028643
8.526,0.00050098302021614
8.563,0.00050209671870496
8.575,0.00050243341824809
8.576,0.00050274421782637
8.588,0.00050279601775608
8.6,0.00050295141754522
8.601,0.0005030809173695
8.613,0.00050393561620976
8.625,0.00050424641578804
8.626,0.00050455721536631
8.638,0.00050517881452287
8.65,0.00050530831434715
8.651,0.00050543781417143
8.663,0.00050577451371456
8.675,0.00050580041367942
8.676,0.00050590401353884
8.688,0.00050595581346856
8.7,0.00050629251301169
8.701,0.00050660331258997
8.713,0.00050678461234396
8.725,0.00050683641227367
8.726,0.00050688821220338
8.75,0.00050691411216824
8.788,0.00050738031153566
8.825,0.00050743211146537
8.826,0.00050748391139508
8.838,0.00050769111111393
8.85,0.00050807961058678
8.851,0.00050846811005962
8.863,0.00050875300967304
8.875,0.00050911560918103
8.876,0.00050945230872416
8.888,0.00050999620798615
8.9,0.00051004800791586
8.901,0.00051009980784557
8.913,0.00051035880749413
8.925,0.00051056600721298
8.926,0.00051079910689669
8.938,0.00051193870535037
8.95,0.00051263800440149
8.951,0.00051336320341747
8.963,0.00051426970218744
8.975,0.00051496900123856
8.976,0.00051559060039511
8.988,0.00051564240032483
9,0.00051587550000853
9.001,0.00051608269972738
9.013,0.00051693739856764
9.025,0.00051729999807563
